,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls,1,1,1,1,1
2018/7/31,16,15,16,14,15,0.001285023,0.001010534,0.001287425,0.000888972,-0.001569041,0.00073398,0.000688505,-0.002303021,-0.002257546,-0.002257546,0.941015831,0.88674019,0.925398953,0.893979571,1.071253695
2018/8/1,16,15,16,14,15,-0.003946642,-0.003798748,-0.003154197,-0.002341215,-0.005501197,-0.019976348,-0.016063692,0.014475151,0.010562495,0.010562495,0.937301979,0.883371688,0.922480062,0.891886574,1.065360517
2018/8/2,16,15,16,14,15,-0.005751393,-0.007843467,-0.006604497,-0.009206957,-0.005314397,-0.022170396,-0.021420583,0.016855999,0.016106186,0.016106186,0.931911187,0.876442991,0.916387545,0.883675012,1.059698769
2018/8/3,17,16,16,15,15,0.000238722,-0.003527801,-0.000595758,-0.000787078,-0.007957174,-0.01651755,-0.013262584,0.008560376,0.00530541,0.00530541,0.932133654,0.873351075,0.9158416,0.882979491,1.051266561
2018/8/6,17,16,16,15,15,-0.004312304,-0.004577343,-0.001678915,-0.00498281,-0.023247525,-0.01267163,-0.02119783,-0.010575896,-0.002049696,-0.002049696,0.92811401,0.869353447,0.91430398,0.878579772,1.026827215
2018/8/7,17,16,16,15,15,0.007514709,0.006360646,0.004824721,0.00744277,0.018426978,0.029206268,0.027277343,-0.01077929,-0.008850365,-0.008850365,0.935088516,0.874883097,0.918715241,0.885118839,1.045748538
2018/8/8,17,16,16,15,15,-0.002976231,-0.001688595,-0.002551373,-0.001606544,-0.014577937,-0.016135974,-0.015392778,0.001558038,0.000814842,0.000814842,0.932305477,0.873405773,0.916371256,0.883696856,1.030503682
2018/8/9,17,16,16,15,15,0.006634981,0.006868199,0.005061017,0.008643873,0.023086259,0.025047443,0.025447847,-0.001961184,-0.002361588,-0.002361588,0.938491306,0.879404498,0.921009027,0.89133542,1.054294157
2018/8/10,17,15,17,15,15,-0.001292527,0.000487452,-0.000684715,-0.000436919,0.008878307,0.002204543,0.005145092,0.006673764,0.003733216,0.003733216,0.937278281,0.879833166,0.920378398,0.890945979,1.063654504
2018/8/13,17,15,17,15,15,0.000491609,0.000787817,-0.001509314,0.000618042,0.001622355,-0.004311282,0.004919969,0.005933637,-0.003297614,-0.003297614,0.937739055,0.880526314,0.918989257,0.891496621,1.065380129
2018/8/14,17,15,17,15,15,-0.005221403,-0.002704304,-0.001764849,-0.005261394,-0.006459239,-0.005141077,-0.003439975,-0.001318162,-0.003019265,-0.003019265,0.932842741,0.878145103,0.91736738,0.886806106,1.058498584
2018/8/15,17,15,17,15,15,-0.004424618,-0.004370445,-0.003764805,-0.008880989,-0.007580295,-0.023994118,-0.020855995,0.016413823,0.0132757,0.0132757,0.928715268,0.874307218,0.91391367,0.87893039,1.050474853
2018/8/16,17,15,17,15,15,-0.002750734,-0.000872533,-0.001155549,-0.002058218,-0.002003723,-0.00463247,-0.009009064,0.002628748,0.007005341,0.007005341,0.926160619,0.873544356,0.912857598,0.877121359,1.048369992
2018/8/17,19,13,19,14,17,-0.003393047,-0.001704592,-0.001744888,-0.005778891,-0.005092721,-0.014377138,-0.017457762,0.009284418,0.012365041,0.012365041,0.923018113,0.87205532,0.911264763,0.872052571,1.043030937
2018/8/20,19,13,19,14,17,-0.000907994,-0.000185054,-0.002696285,-0.000968687,-0.001735132,0.011651526,0.00616694,-0.013386657,-0.007902072,-0.007902072,0.922180018,0.871893942,0.908807734,0.871207824,1.041221141
2018/8/21,19,13,19,14,17,0.004771106,0.002671563,0.003755169,0.008107664,0.009757039,0.018180427,0.012276908,-0.008423388,-0.00251987,-0.00251987,0.926579837,0.874223262,0.912220461,0.878271285,1.051380376
2018/8/22,19,13,19,14,17,0.000104439,-0.0029764,-0.001559924,-0.001833982,-0.006630377,-0.005621271,-0.011234715,-0.001009106,0.004604338,0.004604338,0.926676607,0.871621224,0.910797466,0.876660551,1.044409327
2018/8/23,19,13,19,14,17,0.001676138,0.000494986,-4.08E-06,-0.00102855,0.006179055,0.003651809,0.005509591,0.002527246,0.000669464,0.000669464,0.928229845,0.872052664,0.910793748,0.875758862,1.05086279
2018/8/24,18,15,21,15,18,0.002405208,0.000499565,0.002381208,0.001450534,0.000449508,0.001596371,-0.002339797,-0.001146863,0.002789305,0.002789305,0.930462431,0.872488311,0.912962538,0.87702918,1.051335161
2018/8/27,18,15,21,15,18,0.002670574,0.003977034,0.005498459,0.008477411,0.013041531,0.024430658,0.022212193,-0.011389127,-0.009170662,-0.009170662,0.9329473,0.875958227,0.917982425,0.884464117,1.065046181
2018/8/28,18,15,21,15,18,0.000483131,0.00292541,0.002359538,0.003863002,0.008801842,-0.001878723,0.002850766,0.010680565,0.005951076,0.005951076,0.933398036,0.878520764,0.920148439,0.887880804,1.074420549
2018/8/29,18,15,21,15,18,0.000860972,-0.002455328,-0.001632461,-0.002173779,-0.006215871,-0.0039998,-0.006483442,-0.002216071,0.000267571,0.000267571,0.934201666,0.876363708,0.918646333,0.885950747,1.06774209
2018/8/30,18,15,21,15,18,-0.001863784,-0.002432534,-0.003876566,-0.006389782,-0.007541378,-0.010476677,-0.015143789,0.002935299,0.007602412,0.007602412,0.932460516,0.874231923,0.91508514,0.880289715,1.059689844
2018/8/31,19,15,20,17,18,0.001090705,-0.000519581,-0.001054069,-0.001439393,-0.003413998,-0.004950628,-0.010745574,0.00153663,0.007331576,0.007331576,0.933477555,0.873777689,0.914120577,0.879022632,1.056072064
2018/9/3,19,15,20,17,18,0.000573221,0.001114335,-0.001900764,-0.002486695,-0.00170373,-0.003802669,0.004994995,0.002098939,-0.006698724,-0.006698724,0.934012644,0.87475137,0.91238305,0.87683677,1.054272803
2018/9/4,19,15,20,17,18,0.003805369,0.00143314,0.001964218,0.003503212,0.002899692,0.012667754,0.010624381,-0.009768063,-0.007724689,-0.007724689,0.937566907,0.876005011,0.914175169,0.879908515,1.057329869
2018/9/5,19,15,20,17,18,-0.000803466,-0.000106487,-0.002851083,-0.003664741,-0.008567105,-0.019548738,-0.015387667,0.010981633,0.006820562,0.006820562,0.936813604,0.875911728,0.91156878,0.876683879,1.048271613
2018/9/6,19,15,20,17,18,-0.000320159,-0.000869183,-0.000690911,-0.002267006,0.000234887,-0.010690874,-0.004502568,0.010925761,0.004737455,0.004737455,0.936513674,0.8751504,0.910938967,0.874696431,1.048517838
2018/9/7,20,17,18,17,19,-0.000120101,-0.00145513,0.000287629,0.001010742,-0.000686174,0.004523611,-0.000327537,-0.005209785,-0.000358637,-0.000358637,0.936401198,0.873876943,0.911200979,0.875580524,1.047798373
2018/9/10,20,17,18,17,19,-0.002926467,-0.004506947,-0.002189596,-0.007777084,-0.006448383,-0.014513491,-0.018135223,0.008065108,0.01168684,0.01168684,0.933660851,0.869938425,0.909205818,0.86877106,1.041041767
2018/9/11,20,17,18,17,19,0.001136463,0.00075551,-8.10E-05,-0.002112424,-0.000170669,-0.001814202,-0.00042084,0.001643533,0.000250171,0.000250171,0.934721921,0.870595672,0.90913218,0.866935847,1.040864094
