,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls,1,1,1,1,1
2021/1/28,34,23,38,18,36,-0.001428003,-0.003624541,-0.011130627,-0.002069515,-0.021837574,-0.027290159,-0.021774671,0.005452585,-6.29E-05,-6.29E-05,1.032880164,1.131265335,1.58380917,1.26683642,1.949429542
2021/1/29,34,23,38,18,36,-0.033894257,-0.023685261,-0.022397763,-0.024751976,-0.020848634,-0.004682787,-0.010638596,-0.016165847,-0.010210037,-0.010210037,0.997871457,1.10447102,1.548335387,1.235479716,1.9087866
2021/2/1,34,23,38,18,36,-0.001749605,-0.011539159,0.00600615,0.012029604,0.000574745,0.012274008,0.007428137,-0.011699263,-0.006853393,-0.006853393,0.996125576,1.091726353,1.557634922,1.250342047,1.909883665
2021/2/2,34,23,38,18,36,0.022901032,0.00096573,-0.00119208,-0.00360713,0.00187154,0.015401512,0.00962104,-0.013529972,-0.0077495,-0.0077495,1.01893788,1.092780666,1.555778097,1.2458319,1.913458088
2021/2/3,34,23,38,18,36,-0.012120256,-0.015211551,-0.005086629,-0.003708534,0.000717389,-0.002888518,-0.008592069,0.003605908,0.009309458,0.009309458,1.006588092,1.076157777,1.54786443,1.24121169,1.914830782
2021/2/4,34,17,33,19,45,-0.017297976,-0.017786592,-0.020554054,-0.015973967,-0.017170775,-0.002050974,-0.011023029,-0.015119801,-0.006147746,-0.006147746,0.989176156,1.057016598,1.516049541,1.221384615,1.881951654
2021/2/5,34,17,33,19,45,-0.024965588,-0.011680475,-0.014058911,-0.017678128,-0.011785769,0.001728185,-0.014050079,-0.013513954,0.00226431,0.00226431,0.964480792,1.044670142,1.494735536,1.199792821,1.859771407
2021/2/8,34,17,33,19,45,-0.002107634,0.001944191,0.005860482,-0.004441476,0.004765857,0.014799185,0.013348034,-0.010033329,-0.008582178,-0.008582178,0.962448019,1.046701181,1.503495407,1.19446397,1.868634811
2021/2/9,34,17,33,19,45,0.005699256,0.026880068,0.015131721,0.021447562,0.024845697,0.021868755,0.021305803,0.002976942,0.003539895,0.003539895,0.967933257,1.07483658,1.526245879,1.22008231,1.915062345
2021/2/10,34,17,33,19,45,0.001093611,0.002851456,0.00644622,0.007662151,0.007756964,0.021362058,0.010419828,-0.013605094,-0.002662865,-0.002662865,0.968991799,1.077901429,1.536084397,1.229430765,1.929917414
2021/2/18,42,21,30,19,46,0.017701459,0.010999226,0.023520304,0.019326727,0.012844063,-0.006773743,0.013696195,0.019617806,-0.000852132,-0.000852132,0.986144368,1.089757511,1.572213568,1.253191638,1.954705396
