,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls
2020-08-24,59.0,59.0,60.0,59.0,59.0,0.0067897334218609195,0.0023620964829460913,-0.0037416674176799724,-0.0018364042726756974,-0.004280714662558709,0.00784302921904545,0.006776099723958984,-0.012123743881604159,-0.011056814386517693,-0.011056814386517693
2020-08-25,59.0,59.0,60.0,59.0,59.0,-0.007612874974705019,0.004876947946399873,0.0018027602702780049,-0.0014825331515111598,0.002838107100729801,0.001282630865145018,-0.005443297612782838,0.001555476235584783,0.008281404713512639,0.008281404713512639
2020-08-26,59.0,59.0,60.0,59.0,59.0,-0.022003459175945053,-0.007166371875831469,-0.007691193105025241,-0.007670709705747727,-0.006418980202188312,-0.01172208864015789,-0.01904081893409293,0.005303108437969579,0.012621838731904617,0.012621838731904617
2020-08-27,59.0,59.0,60.0,59.0,59.0,0.005701069983264568,0.009955203324381632,0.00039177951877813675,0.002816770235294211,0.0035728056328677704,0.005358967984309793,0.008107718805739683,-0.0017861623514420222,-0.004534913172871913,-0.004534913172871913
2020-08-28,59.0,59.0,60.0,59.0,59.0,0.010229771974966145,0.003997587329406428,0.002426246368002488,0.004071263483402312,0.0001340111353849957,0.023866338360087447,0.017088248750910084,-0.023732327224702452,-0.01695423761552509,-0.01695423761552509
2020-08-31,59.0,59.0,60.0,59.0,59.0,0.0048195137776600745,0.0026569496430303473,0.0027715394902124695,0.0035804863935274783,0.0024970992303952016,-0.005790346120261747,-0.00340446645673953,0.008287445350656949,0.005901565687134732,0.005901565687134732
2020-09-01,59.0,59.0,60.0,59.0,59.0,0.004411426214377222,0.006900533078048136,0.004798198960012361,0.004246059388820737,0.0006724966144090686,0.005377661319457827,0.006302832900697775,-0.0047051647050487585,-0.005630336286288706,-0.005630336286288706
2020-09-02,59.0,59.0,60.0,59.0,59.0,0.003377810627269988,0.006450473654485546,0.003503299924997803,0.004385087983997039,0.003908397747170478,0.00036554236574071197,0.001058049671706529,0.0035428553814297664,0.0028503480754639493,0.0028503480754639493
2020-09-03,59.0,59.0,60.0,59.0,59.0,-0.002833895055772956,-0.003760294458154071,-0.0034059175799546334,-0.0011277005544512015,-0.000549968352790418,-0.00553067885521763,-0.008233644358963677,0.004980710502427212,0.0076836760061732585,0.0076836760061732585
2020-09-04,59.0,59.0,60.0,59.0,59.0,-0.009084811325218996,-0.0017399926520047084,0.0008501467831231885,-0.0017273377908260073,0.0005489883944312763,-0.009731996429387046,-0.006554842583211373,0.010280984823818323,0.007103830977642649,0.007103830977642649
2020-09-07,59.0,59.0,60.0,59.0,59.0,-0.028478445613116937,-0.010365032885132061,-0.00614090501142917,-0.004620249627143725,-0.002574192752819319,-0.021141582568518946,-0.02111782285626218,0.018567389815699626,0.01854363010344286,0.01854363010344286
2020-09-08,59.0,59.0,60.0,59.0,59.0,-0.0143614203803335,-0.0060719728102576,-3.61870209324767e-05,0.003534557101289309,-0.00020946714936105257,0.0053583245705524085,0.007144830609324915,-0.005567791719913461,-0.0073542977586859674,-0.0073542977586859674
2020-09-09,59.0,59.0,60.0,59.0,59.0,-0.03323256846591759,-0.022054289926906855,-0.011506023954286999,-0.009290255333711936,-0.00834043849572708,-0.023389620376662368,-0.02695437617814289,0.015049181880935288,0.018613937682415812,0.018613937682415812
2020-09-10,59.0,59.0,60.0,59.0,59.0,-0.011203980217579693,-0.01848239927135817,-0.017288912280499745,-0.010482763999645745,-0.012081667604490198,-0.0005692984541694202,-0.01789983651535154,-0.011512369150320778,0.005818168910861343,0.005818168910861343
2020-09-11,59.0,59.0,60.0,59.0,59.0,0.013774411695833466,0.006676453261071242,0.00337382726770221,0.0026244843004334713,0.0011290239824259373,0.009886555593869861,0.012252288082725382,-0.008757531611443924,-0.011123264100299445,-0.011123264100299445
2020-09-14,59.0,59.0,60.0,59.0,59.0,0.00783482522255104,0.006883817860687809,0.005634618446173835,0.005433123831737103,0.0020983844274242098,0.00513692709323843,0.00622151245965985,-0.0030385426658142206,-0.004123128032235641,-0.004123128032235641
2020-09-15,59.0,59.0,60.0,59.0,59.0,0.005681272345231933,0.008717669100342043,-0.002381140226680182,-0.0016264254838978204,0.0014009689165160053,0.0080476451553948,0.005768952204608935,-0.006646676238878795,-0.0043679832880929295,-0.0043679832880929295
2020-09-16,59.0,59.0,60.0,59.0,59.0,0.0012769201170276113,-0.005905854829459754,-0.0028194720266105163,-0.004885317152093825,-0.0025572387970236254,-0.00663754564379071,-0.0053288414935784845,0.004080306846767084,0.002771602696554859,0.002771602696554859
2020-09-17,59.0,59.0,60.0,59.0,59.0,0.0020566026118379976,-0.0030780342852761043,0.0036801913622390753,-0.0020186330625790836,0.0015851534503674245,-0.005292698009172536,0.002074336149478162,0.006877851459539961,-0.0004891826991107375,-0.0004891826991107375
2020-09-18,59.0,59.0,60.0,59.0,59.0,0.006698232551016171,0.003484535214311628,0.008225909721683201,0.005095118067450624,0.0012410438664237277,0.022531088714812686,0.01609073004325401,-0.021290044848388957,-0.01484968617683028,-0.01484968617683028
2020-09-21,59.0,59.0,59.0,59.0,59.0,-0.0017804092318371425,0.0031401101350242507,-0.0001006210611649086,0.0004860409988268698,-0.002074620099446034,-0.009638828901287422,-0.0036339916561944907,0.007564208801841388,0.0015593715567484567,0.0015593715567484567
2020-09-22,59.0,59.0,59.0,59.0,59.0,-0.009628477679144008,-0.008142561070444742,-0.006418533524190704,-0.006432216737484344,-0.005079764461084481,-0.011866317945701033,-0.013544918057201816,0.006786553484616552,0.008465153596117336,0.008465153596117336
2020-09-23,59.0,59.0,59.0,59.0,59.0,0.003816758460365432,-0.002117199476248514,-0.001968876385629878,-0.0016862248049103997,0.00023472169528513526,0.003574386939789731,0.005249541962523585,-0.0033396652445045957,-0.00501482026723845,-0.00501482026723845
2020-09-24,59.0,59.0,59.0,59.0,59.0,-0.025222002233498488,-0.020362283116937475,-0.013027431560169948,-0.011003996979569997,-0.008595528384391732,-0.019186085251906126,-0.023058402416759494,0.010590556867514395,0.014462874032367762,0.014462874032367762
2020-09-25,59.0,59.0,59.0,59.0,59.0,-0.003303043267882036,-0.00509410054953463,-0.006236847301086366,-0.004016895227039306,-0.002656004119451363,0.0015230973883813004,-0.0012410643367751772,-0.004179101507832663,-0.0014149397826761856,-0.0014149397826761856
2020-09-28,59.0,59.0,59.0,59.0,59.0,-0.009925763469494683,-0.010958624419826438,-0.008585510345383053,-0.004792114407484737,-0.007761551255846107,0.002601739160878802,-0.009366847900155406,-0.010363290416724909,0.0016052966443092995,0.0016052966443092995
2020-09-29,59.0,59.0,59.0,59.0,59.0,0.010318165216507151,0.011093180853436538,0.007673948854304733,0.0057670266898994585,0.008570071212964846,0.002158488490607624,0.008141174109447924,0.006411582722357222,0.00042889710351692173,0.00042889710351692173
2020-09-30,59.0,59.0,59.0,59.0,59.0,0.0020098377466544817,-0.00027986671472844953,0.0043250163103708,0.0020424435992819814,0.001842444463080418,-0.0009582298880614903,-0.005822979496754699,0.0028006743511419085,0.007665423959835117,0.007665423959835117
